1,GAME,GGProd Hand Logger,Virtual Table,2025-08-27,,,,,,,,,,,,,
2,PAYOUTS,,DEBUG_1757916164470,debug_test_1757916164470.mp4,debug_test_1757916164470.mp4,,디버그 테스트 - 2025. 9. 15. 오후 3:02:44,2025. 9. 14,,,,,,,,,
3,HAND,1,1756296967,HOLDEM,BB_ANTE,0,0,0,0,0,1,2,3,0,0,1,T02
4,PLAYER,Jaewon,1,0,1000000,1000000,10h 9d,,,,,,,,,,
5,PLAYER,Pauline Lebsack,2,0,1000000,1000000,5d 4c,,,,,,,,,,
6,PLAYER,David,3,0,1000000,1000000,Jd 10c,,,,,,,,,,
7,EVENT,BET,1,5000,211613,,,,,,,,,,,,
8,EVENT,CALL,2,,211622,,,,,,,,,,,,
9,EVENT,CALL,3,,211631,,,,,,,,,,,,
10,EVENT,BOARD,DEBUG_1757918671027,debug_test_1757923883044.mp4,debug_test_1757923883044.mp4,,🔧 디버그 테스트 - 2025. 9. 15. 오후 5:11:23,2025. 9. 15,,,,,,,,,
11,EVENT,BOARD,1,6d,211638,,,,,,,,,,,,
12,EVENT,BOARD,1,4d,211641,,,,,,,,,,,,
13,EVENT,BET,1,50000,211652,,,,,,,,,,,,
14,EVENT,FOLD,2,,211702,,,,,,,,,,,,
15,EVENT,CALL,3,,211712,,,,,,,,,,,,
16,EVENT,BOARD,1,5s,211716,,,,,,,,,,,,
17,EVENT,CHECK,1,,211731,,,,,,,,,,,,
18,EVENT,CHECK,2,,211743,,,,,,,,,,,,
19,EVENT,BOARD,1,2h,211747,,,,,,,,,,,,
20,EVENT,BET,1,50000,211800,,,,,,,,,,,,
21,EVENT,CALL,2,,211814,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,
1,GAME,GGProd Hand Logger,Virtual Table,2025-08-27,,,,,,,,,,,,,
2,PAYOUTS,,,,,,,,,,,,,,,,
3,HAND,1,1756297596,HOLDEM,BB_ANTE,0,0,0,0,0,1,2,3,0,0,1,T02
4,PLAYER,Yohan,1,0,0,0,,,,,,,,,,,
5,PLAYER,Jaewon,2,0,0,0,,,,,,,,,,,
6,PLAYER,Lad Park,3,0,0,0,,,,,,,,,,,
7,EVENT,BOARD,1,Qh,212639,,,,,,,,,,,,
8,EVENT,BOARD,1,10c,212642,,,,,,,,,,,,
9,EVENT,BOARD,1,8d,212646,,,,,,,,,,,,
10,EVENT,BOARD,1,5d,212649,,,,,,,,,,,,
11,EVENT,BOARD,1,9d,212654,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,
1,GAME,GGProd Hand Logger,Virtual Table,2025-08-27,,,,,,,,,,,,,
2,PAYOUTS,,,,,,,,,,,,,,,,
3,HAND,20,1756299161,HOLDEM,NO_ANTE,20000,0,10000,20000,0,1,2,3,0,0,1,T02
4,PLAYER,Yohan,1,0,13000000,13000000,Qc Jc,,,,,,,,,,
5,PLAYER,Jaewon,2,0,17000000,17000000,Kh 2c,,,,,,,,,,
6,PLAYER,Spunky,3,0,32000000,32000000,,,,,,,,,,,
7,EVENT,BOARD,1,5s,215244,,,,,,,,,,,,
8,EVENT,BOARD,1,Kc,215244,,,,,,,,,,,,
9,EVENT,BOARD,1,10h,215244,,,,,,,,,,,,
